country,edge_betweenness_2024
"('FI', 'EE')",0.0
"('FI', 'NO')",0.08803986710963455
"('FI', 'RU')",0.311046511627907
"('FI', 'SE')",0.0
"('LV', 'EE')",0.0
"('LV', 'LT')",0.0
"('LV', 'RU')",0.008444075304540421
"('RU', 'EE')",0.023255813953488372
"('RU', 'FI')",0.4130675526024363
"('RU', 'GE')",0.10686600221483943
"('RU', 'LT')",0.023255813953488372
"('RU', 'LV')",0.023255813953488372
"('RU', 'UA')",0.6046511627906976
"('ES', 'FR')",0.03654485049833887
"('ES', 'PT')",0.023255813953488372
"('PT', 'ES')",0.018826135105204873
"('IE', 'GB')",0.014673311184939091
"('MT', 'IT')",0.019656699889258028
"('MD', 'RO')",0.006090808416389811
"('MD', 'UA')",0.005537098560354374
