country,out_strength_2024
AL,17059
GR,43004
ME,43633
XK,18152
AM,798
GE,16687
AT,124992
CH,199927
CZ,115015
DE,381343
HU,115529
IT,214276
SI,71957
AZ,4912
BA,31724
HR,59131
RS,44899
BE,131833
FR,410239
GB,193004
LU,14179
NL,116555
BG,44459
MK,24784
RO,53990
TR,15026
BY,3421
LT,40955
UA,43765
PL,99775
SK,112335
DK,149712
NO,152150
SE,159272
EE,26998
FI,52451
LV,16957
RU,10187
ES,133810
PT,68367
IE,10588
MT,3230
MD,20108
