country,community
AL,2
GR,2
ME,2
XK,2
AM,2
GE,2
AT,3
CH,1
CZ,3
DE,3
HU,2
IT,1
SI,2
AZ,2
BA,2
HR,2
RS,2
BE,0
FR,1
GB,0
LU,3
NL,0
BG,2
MK,2
RO,2
TR,2
BY,0
LT,0
UA,2
PL,3
SK,2
DK,0
NO,0
SE,0
EE,0
FI,0
LV,0
RU,0
ES,1
PT,1
IE,0
MT,1
MD,2
