country,in_degree_2019
AL,3
GR,5
ME,4
RS,8
AT,6
CH,4
CZ,4
DE,8
HU,6
IT,7
SI,3
BA,3
HR,4
BE,4
FR,6
GB,4
LU,2
NL,5
BG,5
MK,3
RO,4
TR,2
BY,2
LT,5
UA,6
PL,6
SK,4
DK,4
SE,6
NO,4
EE,3
FI,4
LV,3
RU,5
ES,2
PT,1
IE,1
MT,1
MD,1
