,export_MWh,import_MWh,balance_MWh
AL,2316,10725,-8409
AT,66740,88529,-21789
BA,22008,3482,18526
BE,48466,41472,6994
BG,29360,7431,21929
BY,12066,4470,7596
CH,101152,107533,-6381
CZ,79381,31963,47418
DE,240198,92492,147706
DK,33360,60279,-26919
EE,11741,18769,-7028
ES,32330,63840,-31510
FI,12062,83678,-71616
FR,250222,38862,211360
GB,6260,93988,-87728
GR,3981,40165,-36184
HR,9593,33732,-24139
HU,27482,69195,-41713
IE,5095,2973,2122
IT,15348,162676,-147328
LT,9296,47248,-37952
LU,437,16465,-16028
LV,10951,13728,-2777
MD,40,2148,-2108
ME,9641,13136,-3495
MK,10951,16912,-5961
MT,17,1871,-1854
NL,68466,51779,16687
NO,41078,38114,2964
PL,28620,59675,-31055
PT,13257,25110,-11853
RO,11861,17892,-6031
RS,19066,18084,982
RU,49893,2794,47099
SE,121315,34149,87166
SI,25787,28212,-2425
SK,42494,50027,-7533
TR,9126,7479,1647
UA,35480,15860,19620
