country,community
AL,1
GR,1
ME,1
RS,1
AT,2
CH,3
CZ,2
DE,2
HU,2
IT,3
SI,2
BA,1
HR,2
BE,0
FR,3
GB,0
LU,2
NL,0
BG,1
MK,1
RO,1
TR,1
BY,4
LT,4
UA,2
PL,2
SK,2
DK,4
SE,4
NO,4
EE,4
FI,4
LV,4
RU,4
ES,3
PT,3
IE,0
MT,3
MD,2
