type,node,avg_shortest_path_length
original,,3.158361018826135
critical,RU,3.4111498257839723
random,MT,3.138211382113821
random,CH,3.181184668989547
random,GR,3.262485481997677
random,BE,3.1660859465737516
random,HR,3.16260162601626
random,BA,3.1416957026713126
random,CZ,3.1742160278745644
random,AT,3.224157955865273
random,GE,inf
random,LT,3.1823461091753775
