Paese,Betweenness,Degree,Strength_GWh,Community
RU,0.6544715447154471,12,10187,1
UA,0.5795586527293844,14,43765,4
FI,0.1817653890824622,8,52451,1
RS,0.1736353077816492,16,44899,0
GE,0.1678281068524971,8,16687,0
HU,0.1504065040650406,14,115529,4
PL,0.1290650406504065,12,99775,4
TR,0.1203542392566782,6,15026,0
IT,0.1193379790940766,14,214276,3
NO,0.1117886178861788,12,152150,1
DE,0.0955284552845528,22,381343,3
NL,0.0929152148664343,10,116555,3
SE,0.0910278745644599,12,159272,1
GR,0.087253193960511,10,43004,0
FR,0.0836236933797909,12,410239,3
LU,0.0733159117305458,4,14179,3
ME,0.0638792102206736,10,43633,0
BE,0.0592334494773519,10,131833,3
AT,0.0586527293844367,12,124992,4
ES,0.0429732868757259,4,133810,2
GB,0.0386178861788617,12,193004,3
CH,0.0139372822299651,8,199927,3
AL,0.0116144018583042,6,17059,0
RO,0.0116144018583042,10,53990,0
BG,0.0116144018583042,10,44459,0
XK,0.0104529616724738,8,18152,0
MK,0.0092915214866434,8,24784,0
CZ,0.0,8,115015,4
AM,0.0,2,798,0
BY,0.0,4,3421,1
HR,0.0,8,59131,4
BA,0.0,6,31724,0
AZ,0.0,2,4912,0
SI,0.0,8,71957,4
SK,0.0,8,112335,4
EE,0.0,6,26998,1
DK,0.0,10,149712,1
LT,0.0,10,40955,1
LV,0.0,6,16957,1
PT,0.0,2,68367,2
IE,0.0,2,10588,3
MT,0.0,2,3230,3
MD,0.0,4,20108,0
