country,betweenness_2024
AL,0.011614401858304297
GR,0.08725319396051104
ME,0.06387921022067364
XK,0.010452961672473868
AM,0.0
GE,0.1678281068524971
AT,0.0586527293844367
CH,0.013937282229965157
CZ,0.0
DE,0.09552845528455285
HU,0.15040650406504066
IT,0.11933797909407666
SI,0.0
AZ,0.0
BA,0.0
HR,0.0
RS,0.17363530778164923
BE,0.059233449477351915
FR,0.08362369337979095
GB,0.03861788617886179
LU,0.07331591173054587
NL,0.09291521486643438
BG,0.011614401858304297
MK,0.009291521486643438
RO,0.011614401858304297
TR,0.12035423925667828
BY,0.0
LT,0.0
UA,0.5795586527293844
PL,0.1290650406504065
SK,0.0
DK,0.0
NO,0.11178861788617886
SE,0.09102787456445993
EE,0.0
FI,0.18176538908246226
LV,0.0
RU,0.6544715447154471
ES,0.0429732868757259
PT,0.0
IE,0.0
MT,0.0
MD,0.0
